Category,Dataset title,Version,Contact organisation,Dataset ID,Associated metadata?,Webpage and/or download,Factsheet URL,Marine Spatial Planning & Policy,Education,Environmental Impact & high-level screening,Ecosystem health & assessment,Ecosystem services and blue carbon,DIC_MET_ACCESS_USE_CONSTRAINT.NAME,Regional Sea,Country
Species distribution,Global Distribution of Hector's Dolphins (2013),1.0 (August 2013),Albert-Ludwigs-University of Freiburg,Kaschner-004,TRUE,http://www.aquamaps.org,,FALSE,TRUE,FALSE,TRUE,FALSE,CC BY-NC 3.0,Red Sea and Gulf of Aden,Turkey
Species distribution,Global Distribution of Atlantic Spotted Dolphins (2013),1.0 (August 2013),Albert-Ludwigs-University of Freiburg,Kaschner-011,TRUE,http://www.aquamaps.org,,FALSE,TRUE,FALSE,TRUE,FALSE,CC BY-NC 3.0,ROPME Sea Area,Columbia
Species distribution,Global Distribution of Northern Bottlenose Whales (2013),1.0 (August 2013),Albert-Ludwigs-University of Freiburg,Kaschner-005,TRUE,http://www.aquamaps.org,,FALSE,TRUE,FALSE,TRUE,FALSE,CC BY-NC 3.0,North-East Atlantic,Australia
Species distribution,Global Distribution of Sperm Whales (2013),1.0 (August 2013),Albert-Ludwigs-University of Freiburg,Kaschner-006,TRUE,http://www.aquamaps.org,,FALSE,TRUE,FALSE,TRUE,FALSE,CC BY-NC 3.0,North-East Pacific,Italy
Species distribution,Global Distribution of Bowhead Whales (2013),1.0 (August 2013),Albert-Ludwigs-University of Freiburg,Kaschner-008,TRUE,http://www.aquamaps.org,,FALSE,TRUE,FALSE,TRUE,FALSE,CC BY-NC 3.0,Red Sea and Gulf of Aden,Turkey
Species distribution,Global Distribution of Sei Whales (2013),1.0 (August 2013),Albert-Ludwigs-University of Freiburg,Kaschner-009,TRUE,http://www.aquamaps.org,,FALSE,TRUE,FALSE,TRUE,FALSE,CC BY-NC 3.0,ROPME Sea Area,Columbia
Species distribution,Global Distribution of Melon-Headed Whales (2013),1.0 (August 2013),Albert-Ludwigs-University of Freiburg,Kaschner-012,TRUE,http://www.aquamaps.org,,FALSE,TRUE,FALSE,TRUE,FALSE,CC BY-NC 3.0,North-East Atlantic,Australia
Species distribution,Spatial Data for the Red List of Threatened Species,v5.1,International Union for Conservation of Nature,IUCN-001,TRUE,http://www.iucnredlist.org,http://www.iucnredlist.org/technical-documents/spatial-data,TRUE,FALSE,TRUE,TRUE,FALSE,IUCN,North-East Pacific,Italy
Species distribution,Corrected and Refined Mangrove Species Ranges (2014),1.0 (December 2014),UN Environment World Conservation Monitoring Centre,IUCN-002,TRUE,Contact: marine@unep-wcmc.org,http://wcmc.io/mangroves,TRUE,FALSE,FALSE,TRUE,TRUE,IUCN,Red Sea and Gulf of Aden,Turkey
Biodiversity metric,Global Patterns of Marine Biodiversity (2010),,UN Environment World Conservation Monitoring Centre,WCMC-019,TRUE,http://data.unep-wcmc.org/datasets/17,,FALSE,TRUE,FALSE,TRUE,FALSE,UNEP-WCMC SDA,ROPME Sea Area,Columbia
Biodiversity metric,Global Map of Shannon's Index of Biodiversity (OBIS),2014,"OBIS Secretariat, Intergovernmental Oceanographic Commission (UNESCO)",OBIS-001,TRUE,http://data.unep-wcmc.org/datasets/15,,FALSE,FALSE,FALSE,TRUE,FALSE,Other,North-East Atlantic,Australia
