Category,Dataset title,Version,Contact organisation,Dataset ID,Associated metadata?,Webpage and/or download,Factsheet URL,Marine Spatial Planning & Policy,Education,Environmental Impact & high-level screening,Ecosystem health & assessment,Ecosystem services and blue carbon
Biogenic habitat,World Atlas of Mangroves (2010),1.1,UN Environment World Conservation Monitoring Centre,WCMC-011,TRUE,http://data.unep-wcmc.org/datasets/5,http://wcmc.io/mangroves,TRUE,TRUE,TRUE,TRUE,TRUE
Biogenic habitat,Global Distribution of Modelled Mangrove Biomass (2014),1.0 (2014),The Nature Conservancy,TNC-001,TRUE,http://data.unep-wcmc.org/datasets/39,http://wcmc.io/mangroves,TRUE,TRUE,FALSE,TRUE,TRUE
Biogenic habitat,World Mangrove Atlas (1997),1,UN Environment World Conservation Monitoring Centre,WCMC-012,TRUE,http://data.unep-wcmc.org/datasets/6,http://wcmc.io/mangroves,FALSE,FALSE,FALSE,TRUE,TRUE
Biogenic habitat,Mangrove Tree Height in Africa (2013),1.0 (September 2012),NASA Goddard Space Flight Centre,NASA-001,TRUE,Contact marine@unep-wcmc.org,http://wcmc.io/mangroves,TRUE,FALSE,TRUE,TRUE,TRUE
Biogenic habitat,Global Distribution of Seagrasses (2016),4.0 (November 2016),UN Environment World Conservation Monitoring Centre,WCMC-013-014,TRUE,http://data.unep-wcmc.org/datasets/7,http://wcmc.io/seagrass,TRUE,TRUE,TRUE,TRUE,TRUE
Biogenic habitat,Modelled Posidonia oceanica Distribution (2013),2013,"""Tor Vergata"" University of Rome",Mediseh-002,TRUE,http://www.emodnet-seabedhabitats.eu/default.aspx?page=1974,http://wcmc.io/seagrass,TRUE,FALSE,TRUE,TRUE,TRUE
Biogenic habitat,Global Distribution of Saltmarsh,4.0 (January 2017),UN Environment World Conservation Monitoring Centre,WCMC-027,TRUE,http://data.unep-wcmc.org/datasets/43,http://wcmc.io/saltmarsh,TRUE,TRUE,TRUE,TRUE,TRUE
Species habitat,Global Distribution of Sea Turtle Nesting Sites (1999),1.1 (May 2015),UN Environment World Conservation Monitoring Centre,WCMC-007,TRUE,http://data.unep-wcmc.org/datasets/22,http://wcmc.io/turtle-nesting-site,TRUE,FALSE,TRUE,TRUE,FALSE
Species habitat,Global Distribution of Sea Turtle Nesting Sites (2011),2011,State of the World's Sea Turtles,SWOT-001,FALSE,http://www.seaturtlestatus.org,http://wcmc.io/turtle-nesting-site,TRUE,TRUE,FALSE,TRUE,FALSE
Species habitat,Global Distributions of Habitat Suitability for Sea Turtle Nesting Sites (2012),2012,State of the World's Sea Turtles,SWOT-002,FALSE,http://www.seaturtlestatus.org,http://wcmc.io/turtle-nesting-site,TRUE,FALSE,FALSE,TRUE,FALSE
Species habitat,Global Distribution of Sea Turtle Feeding Sites (1999),1.1 (May 2015),UN Environment World Conservation Monitoring Centre,WCMC-006,TRUE,http://data.unep-wcmc.org/datasets/21,,TRUE,FALSE,TRUE,TRUE,FALSE
Species habitat,Fish Aggregation Database,2013,Science and Conservation of Fish Aggregations,SCRFA-001,FALSE,http://www.scrfa.org/database,,TRUE,FALSE,FALSE,TRUE,TRUE
Species distribution,Ocean Tracking Network,--,Dalhousie University,UniDalh-001,FALSE,http://members.oceantrack.org/data/discovery/GLOBAL.htm,,TRUE,TRUE,TRUE,TRUE,FALSE
Species distribution,Wildlife Tracking,--,seaturtle.org,SeaTur-001,FALSE,http://www.wildlifetracking.org,,FALSE,TRUE,FALSE,TRUE,FALSE
Species distribution,Movebank,--,Max Planck Institute for Ornithology,MovBnk-001,FALSE,https://www.movebank.org,,TRUE,FALSE,TRUE,FALSE,FALSE
Species distribution,AquaMaps: Predicted Range Maps for Aquatic Species,Aug-16,"Aquamaps, a joint project of FishBase and SealifeBase",AquaMaps-001,FALSE,http://www.aquamaps.org,,FALSE,FALSE,FALSE,TRUE,FALSE
Species distribution,Global Biodiversity Information Facility (GBIF),2017,Global Biodiversity Information Facility,GBIF-001,FALSE,http://www.gbif.org,,TRUE,FALSE,FALSE,TRUE,FALSE
Species distribution,Ocean Biogeographic Information System (OBIS),--,"OBIS Secretariat, Intergovernmental Oceanographic Commission (UNESCO)",OBIS-003,TRUE,http://www.iobis.org,,TRUE,FALSE,FALSE,TRUE,FALSE
Species distribution,Argos Wildlife Monitoring,,Collecte Localisation Satellites (CLS),CLS-001,FALSE,http://www.argos-system.org/using-argos/how-to-access-to-your-satellite-data/,,TRUE,FALSE,FALSE,TRUE,FALSE
Species distribution,Ocean Biogeographic Information System Spatial Ecological Analysis of Megavertebrate Populations,--,"Marine Geospatial Ecology Lab, Duke University",OBIS-004,FALSE,http://seamap.env.duke.edu,,TRUE,FALSE,FALSE,TRUE,FALSE
Species distribution,Global Register of Migratory Species (2004),--,Zoologisches Forschungsinstitut und Museum Alexander Koenig,GROMS-001,FALSE,http://www.groms.de,,TRUE,FALSE,TRUE,TRUE,FALSE
Species distribution,Global Distribution of Northern Fur Seals (2013),1.0 (August 2013),Albert-Ludwigs-University of Freiburg,Kaschner-001,TRUE,http://www.aquamaps.org,,FALSE,TRUE,FALSE,TRUE,FALSE
Species distribution,Global Distribution of Hawaiian Monk Seals (2013),1.0 (August 2013),Albert-Ludwigs-University of Freiburg,Kaschner-002,TRUE,http://www.aquamaps.org,,FALSE,TRUE,FALSE,TRUE,FALSE
Species distribution,Global Distribution of Grey Seals (2013),1.0 (August 2013),Albert-Ludwigs-University of Freiburg,Kaschner-003,TRUE,http://www.aquamaps.org,,FALSE,TRUE,FALSE,TRUE,FALSE
Species distribution,Global Distribution of Hector's Dolphins (2013),1.0 (August 2013),Albert-Ludwigs-University of Freiburg,Kaschner-004,TRUE,http://www.aquamaps.org,,FALSE,TRUE,FALSE,TRUE,FALSE
Species distribution,Global Distribution of Atlantic Spotted Dolphins (2013),1.0 (August 2013),Albert-Ludwigs-University of Freiburg,Kaschner-011,TRUE,http://www.aquamaps.org,,FALSE,TRUE,FALSE,TRUE,FALSE
Species distribution,Global Distribution of Northern Bottlenose Whales (2013),1.0 (August 2013),Albert-Ludwigs-University of Freiburg,Kaschner-005,TRUE,http://www.aquamaps.org,,FALSE,TRUE,FALSE,TRUE,FALSE
Species distribution,Global Distribution of Sperm Whales (2013),1.0 (August 2013),Albert-Ludwigs-University of Freiburg,Kaschner-006,TRUE,http://www.aquamaps.org,,FALSE,TRUE,FALSE,TRUE,FALSE
Species distribution,Global Distribution of Bowhead Whales (2013),1.0 (August 2013),Albert-Ludwigs-University of Freiburg,Kaschner-008,TRUE,http://www.aquamaps.org,,FALSE,TRUE,FALSE,TRUE,FALSE
Species distribution,Global Distribution of Sei Whales (2013),1.0 (August 2013),Albert-Ludwigs-University of Freiburg,Kaschner-009,TRUE,http://www.aquamaps.org,,FALSE,TRUE,FALSE,TRUE,FALSE
Species distribution,Global Distribution of Melon-Headed Whales (2013),1.0 (August 2013),Albert-Ludwigs-University of Freiburg,Kaschner-012,TRUE,http://www.aquamaps.org,,FALSE,TRUE,FALSE,TRUE,FALSE
Species distribution,Global Shark Distribution Database (2009),2009,Dalhousie University,UniDalh-002,FALSE,http://www.globalshark.ca/gs_distribution_db/data.php,,FALSE,FALSE,FALSE,TRUE,FALSE
Species distribution,Spatial Data for the Red List of Threatened Species,v5.1,International Union for Conservation of Nature,IUCN-001,TRUE,http://www.iucnredlist.org,http://www.iucnredlist.org/technical-documents/spatial-data,TRUE,FALSE,TRUE,TRUE,FALSE
Species distribution,Biomass Of Deep Sea Floor,,Texas A&M University,TAM-001,FALSE,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0015323#s5,,TRUE,FALSE,FALSE,TRUE,FALSE
Species distribution,Global Modelled Distribution of Xenophyophores,,"University of Southampton, National Oceanography Centre",NOC-001,FALSE,https://doi.org/10.1016/j.dsr.2014.07.012,,TRUE,FALSE,FALSE,TRUE,FALSE
Species distribution,SponGIS,,University of Bergen,UniBer-001,FALSE,http://spongis.org/,,FALSE,TRUE,FALSE,TRUE,TRUE
Species distribution,Corrected and Refined Mangrove Species Ranges (2014),1.0 (December 2014),UN Environment World Conservation Monitoring Centre,IUCN-002,TRUE,Contact: marine@unep-wcmc.org,http://wcmc.io/mangroves,TRUE,FALSE,FALSE,TRUE,TRUE
Species distribution,Seabird Tracking Database,,Birdlife International,BirdLife-002,FALSE,http://www.seabirdtracking.org/,,TRUE,FALSE,TRUE,TRUE,FALSE
Biodiversity metric,Global Patterns of Marine Biodiversity (2010),--,UN Environment World Conservation Monitoring Centre,WCMC-019,TRUE,http://data.unep-wcmc.org/datasets/17,,FALSE,TRUE,FALSE,TRUE,FALSE
Biodiversity metric,Global Map of Shannon's Index of Biodiversity (OBIS),2014,"OBIS Secretariat, Intergovernmental Oceanographic Commission (UNESCO)",OBIS-001,TRUE,http://data.unep-wcmc.org/datasets/15,,FALSE,FALSE,FALSE,TRUE,FALSE
Biodiversity metric,Global Map of Hurlbert's Index of Biodiversity (OBIS),2014,"OBIS Secretariat, Intergovernmental Oceanographic Commission (UNESCO)",OBIS-002,TRUE,http://data.unep-wcmc.org/datasets/16,,FALSE,FALSE,FALSE,TRUE,FALSE
Biodiversity metric,Global Seagrass Species Richness (2003),1,UN Environment World Conservation Monitoring Centre,WCMC-015,TRUE,http://data.unep-wcmc.org/datasets/9,,FALSE,TRUE,FALSE,TRUE,TRUE
Biodiversity metric,Global Sea Turtle Species Richness (2002),,UN Environment World Conservation Monitoring Centre,WCMC-003,FALSE,Contact marine@unep-wcmc.org,(link to biodiversity metrics factsheet when on line),FALSE,FALSE,FALSE,TRUE,TRUE
Protected areas and areas of biodiversity importance,Global Distribution of Important Marine Mammal Areas (IMMAs),,Marine Mammal Protected Areas Task Force,IUCN-003,FALSE,http://www.iucnredlist.org/technical-documents/spatial-data,,TRUE,FALSE,TRUE,FALSE,FALSE
Protected areas and areas of biodiversity importance,World Database on Protected Areas,Released monthly,UN Environment World Conservation Monitoring Centre,WCMC-016,TRUE,http://www.protectedplanet.net/,http://wcmc.io/MPA,TRUE,TRUE,TRUE,TRUE,FALSE
Protected areas and areas of biodiversity importance,Marine Protection Atlas (MPAtlas),,Marine Conservation Institute,MCI-001,FALSE,http://www.mpatlas.org/data/download/,,TRUE,FALSE,FALSE,FALSE,FALSE
Protected areas and areas of biodiversity importance,Global Distribution of Key Biodiversity Areas,2016,Birdlife International,Birdlife-001,TRUE,http://www.keybiodiversityareas.org/site/mapsearch,http://wcmc.io/KBA,TRUE,FALSE,TRUE,FALSE,FALSE
Protected areas and areas of biodiversity importance,Global Distribution of Vulnerable Marine Ecosystems,1,Food and Agriculture Organization of the United Nations,FAO-002,TRUE,http://www.fao.org/in-action/vulnerable-marine-ecosystems/background/vme-tools/en/#download_shapefiles,http://wcmc.io/VME,FALSE,FALSE,TRUE,FALSE,FALSE
Protected areas and areas of biodiversity importance,Global Distribution of Ecologically or Biologically Significant Marine Areas,1,Secretariat of the Convention on Biological Diversity,CBD-001,TRUE,https://www.cbd.int/ebsa/,http://wcmc.io/EBSA,TRUE,FALSE,TRUE,FALSE,FALSE
Protected areas and areas of biodiversity importance,Global Distribution of Particularly Sensitive Sea Areas (PSSA),2016,Claymoreclan Design,IMO-001,TRUE,http://pssa.imo.org,http://wcmc.io/PSSA,TRUE,FALSE,TRUE,FALSE,FALSE
Protected areas and areas of biodiversity importance,The Global 200 Ecoregions (2002),,World Wildlife Fund,WWF-001,FALSE,http://www.worldwildlife.org/publications/global-200,http://wcmc.io/Global-200,TRUE,TRUE,FALSE,TRUE,FALSE
Protected areas and areas of biodiversity importance,Areas of Particular Environmental Interest (APEI),1.0 (2012),International Seabed Authority,ISA-001,TRUE,See metadata,,TRUE,FALSE,TRUE,FALSE,FALSE
Protected areas and areas of biodiversity importance,A Global Map of Marine Critical Habitat (2015) as per IFC PS6,1.0 (August 2013),UN Environment World Conservation Monitoring Centre,WCMC-029,TRUE,http://dx.doi.org/10.1016/j.marpol.2014.11.007,http://wcmc.io/critical-habitat,TRUE,FALSE,TRUE,FALSE,TRUE
Protected areas and areas of biodiversity importance,Global Diversity Hotspots and Conservation Priorities for Sharks (2011),2011,Dalhousie University,UniDahl-003,FALSE,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0019356,,FALSE,FALSE,FALSE,TRUE,FALSE
Biogeographic classification,Ecological Marine Units (EMU),,ESRI,ESRI-002,FALSE,http://esri.maps.arcgis.com/home/group.html?id=6c78a5125d3244f38d1bc732ef0ee743#overview,,TRUE,FALSE,FALSE,TRUE,FALSE
Biogeographic classification,Large Marine Ecosystems of the World (2013),Jul-13,"Large Marine Ecosystem Program, National Oceanic and Atmospheric Administration-Fisheries",NOAA-001,TRUE,http://www.lme.noaa.gov,,TRUE,FALSE,FALSE,TRUE,FALSE
Biogeographic classification,Longhurst Biogeographical Provinces (2006),,Flanders Marine Institute,VLIZ-007,FALSE,http://www.marineregions.org,,TRUE,FALSE,FALSE,FALSE,FALSE
Biogeographic classification,Marine Ecoregions and Pelagic Provinces of the World (2007; 2012),1.0 (May 2015),The Nature Conservancy,WCMC-036,TRUE,http://dx.doi.org/10.1641/B570707; 10.1016,http://wcmc.io/PPOW,TRUE,TRUE,FALSE,TRUE,FALSE
Biogeographic classification,Geomorphology of the oceans (2014),,GRID-Arendal,GridA-001,FALSE,http://www.bluehabitats.org/?page_id=58,,TRUE,FALSE,FALSE,FALSE,FALSE
Biogeographic classification,Global Estuary Database (2003),2.0 (2014),"Sea Around Us, University of British Columbia",UBC-003,TRUE,http://data.unep-wcmc.org/datasets/23,www.marbef.org/wiki/estuaries,TRUE,FALSE,FALSE,TRUE,FALSE
Biogeographic classification,Coral Ecoregions of the World (2009),1,Coral Reef Research,TNC-003,TRUE,https://www.jstage.jst.go.jp/article/galaxea/11/2/11_2_91/_pdf,,FALSE,TRUE,FALSE,TRUE,FALSE
Biogeographic classification,Global Distribution of Seamounts and Knolls (2011),1.0 (2011),"Institute of Zoology, Zoological Society of London",ZSL-002,TRUE,http://data.unep-wcmc.org/datasets/41,http://wcmc.io/seamounts,TRUE,TRUE,TRUE,TRUE,TRUE
Biogeographic classification,Global Seamount Database (2011),16.1,"School of Ocean and Earth Science and Technology, University of Hawaii",UniHaw-003,FALSE,http://www.soest.hawaii.edu/PT/SMTS/main.html,http://wcmc.io/seamounts,TRUE,FALSE,TRUE,TRUE,FALSE
Biogeographic classification,Large Seamount Areas (2004),1,"Sea Around Us, University of British Columbia",UBC-004,TRUE,http://www.seaaroundus.org/large-seamount-areas/,http://wcmc.io/seamounts,TRUE,FALSE,TRUE,FALSE,FALSE
Biogeographic classification,Global Distribution of Hydrothermal Vents (2010),3,"University of Southampton, National Oceanography Centre",ChEssBase-002,TRUE,http://www.noc.soton.ac.uk/chess/science/sci_project.php,http://wcmc.io/hydrothermal-vents,TRUE,FALSE,TRUE,TRUE,TRUE
Biogeographic classification,Global Distribution of Hydrothermal Vent Fields,3.4 (October 2015),Woods Hole Oceanographic Institution,IntRid-001,TRUE,http://vents-data.interridge.org/ventfields_list_all,http://wcmc.io/hydrothermal-vents,TRUE,FALSE,FALSE,TRUE,TRUE
Biogeographic classification,Global Distribution of Cold Seeps (2010),3,"University of Southampton, National Oceanography Centre",ChEssBase-001,TRUE,http://www.noc.soton.ac.uk/chess/science/sci_project.php,http://wcmc.io/cold-seep,TRUE,FALSE,TRUE,TRUE,TRUE
Biogeographic classification,A Proposed Biogeography of the Deep Oceans (2013),,University of Hawaii,UniHaw-002,FALSE,Contact watling@hawaii.edu,,FALSE,FALSE,FALSE,TRUE,FALSE
Environment descriptor,General Bathymetric Chart of the Oceans (2008),GEBCO_2014 Grid,British Oceanographic Data Centre,GEBCO-001,FALSE,http://www.gebco.net/data_and_products/gridded_bathymetry_data,http://wcmc.io/environment-descriptors,TRUE,FALSE,FALSE,FALSE,FALSE
Environment descriptor,Global Sediment Map (marine realm),7.1,Service Hydrographique et Océanographique de la Marine,SHOM-001,FALSE,diffusion.shom.fr/produits/sedimentologie/sedim-mondiale.html,,TRUE,FALSE,FALSE,FALSE,FALSE
Environment descriptor,Global Distribution of Seafloor Sediments,,The International Renewable Energy Agency,UniSyd-001,FALSE,ftp://ftp.earthbyte.org/papers/Dutkiewicz_etal_seafloor_lithology/,,TRUE,FALSE,FALSE,FALSE,FALSE
Environment descriptor,Global Crustal Model (2013),,"Scripps Institution of Oceanography, University of California",UniCal-002,FALSE,http://igppweb.ucsd.edu/~gabi/crust1.html,,TRUE,FALSE,FALSE,FALSE,FALSE
Environment descriptor,Global Marine Environment Dataset,,"Institute of Marine Science, University of Auckland",GMED-001,FALSE,http://gmed.auckland.ac.nz/index.html,http://wcmc.io/environment-descriptors,TRUE,FALSE,FALSE,FALSE,FALSE
Environment descriptor,Bio-ORACLE: a Global Environmental Dataset for Marine Species Distribution Modelling (2012),,"Phycology Research Group, Ghent University",Ghent-001,FALSE,http://www.oracle.ugent.be,http://wcmc.io/environment-descriptors,FALSE,FALSE,FALSE,TRUE,FALSE
Environment descriptor,AquaMaps Environmental Dataset,,"Aquamaps, a joint project of FishBase and SealifeBase",AquaMaps-003,FALSE,http://www.aquamaps.org/download/main.php,,FALSE,FALSE,FALSE,TRUE,FALSE
Environment descriptor,Mean Sea Surface Productivity in June and December 2003-2007 (2008),--,UN Environment World Conservation Monitoring Centre,WCMC-020-021,TRUE,http://data.unep-wcmc.org/datasets/18,http://wcmc.io/environment-descriptors,FALSE,FALSE,FALSE,TRUE,FALSE
Environment descriptor,Mean Annual Sea Surface Chlorophyll-a Concentration 2009-2013 (2015),1.0 (April 2015),UN Environment World Conservation Monitoring Centre,WCMC-034,TRUE,http://data.unep-wcmc.org/datasets/37,http://wcmc.io/environment-descriptors,FALSE,TRUE,FALSE,TRUE,FALSE
Environment descriptor,Mean Annual Sea Surface Temperature 2003-2007 (2008),--,UN Environment World Conservation Monitoring Centre,WCMC-022,TRUE,http://data.unep-wcmc.org/datasets/20,http://wcmc.io/environment-descriptors,FALSE,FALSE,FALSE,TRUE,FALSE
Environment descriptor,Mean Annual Sea Surface Temperature 2009-2013 (2015),1.0 (May 2015),UN Environment World Conservation Monitoring Centre,WCMC-035,TRUE,http://data.unep-wcmc.org/datasets/36,http://wcmc.io/environment-descriptors,FALSE,TRUE,FALSE,TRUE,FALSE
Environment descriptor,Global Atlas of Renewable Energy,3,The International Renewable Energy Agency,IRENA-001,FALSE,https://irena.masdar.ac.ae/gallery/#gallery,,TRUE,FALSE,TRUE,FALSE,FALSE
Ecosystem services and natural capital,A Global Map of Natural Capital (2014),1.0 (2014),UN Environment World Conservation Monitoring Centre,WCMC-032,TRUE,http://www.unep-wcmc.org/resources-and-data/towards-a-global-map-of-natural-capital,http://www.biodiversitya-z.org/content/natural-capital,FALSE,FALSE,FALSE,FALSE,TRUE
Ecosystem services and natural capital,Mapping Ocean Wealth,--,"Mapping Ocean Wealth, The Nature Conservancy",TNC-004,TRUE,http://maps.oceanwealth.org/,,FALSE,TRUE,FALSE,FALSE,TRUE
Ecosystem services and natural capital,Marine Ecosystem Services Partnership,--,"Nicholas Institute for Environmental Policy Solutions, Duke University",UniDuke-001,TRUE,http://mesp2.env.duke.edu/explore,,FALSE,FALSE,FALSE,FALSE,TRUE
Ecosystem services and natural capital,A Global Map Of Coastal Recreation Values (2013),,University of Haifa,UniHaif-001,FALSE,http://dx.doi.org/10.1016/j.ecolecon.2012.11.006,,FALSE,FALSE,FALSE,FALSE,TRUE
Ecosystem services and natural capital,Sea Around Us,--,"Sea Around Us, University of British Columbia",UBC-009,TRUE,http://www.seaaroundus.org,,FALSE,TRUE,TRUE,FALSE,TRUE
Ecosystem services and natural capital,Ocean Past Initiative,,"Maritime Historical Studies Centre, University of Hull",HMAP-001,FALSE,http://www.hull.ac.uk/hmap/Library/Library.htm,,FALSE,TRUE,FALSE,FALSE,FALSE
Ecological status and impact,Global inventory of threats to biodiversity data layers,,UN Environment World Conservation Monitoring Centre,WCMC-043,FALSE,http://science.sciencemag.org/content/352/6284/416/tab-figures-data,,FALSE,FALSE,TRUE,TRUE,FALSE
Ecological status and impact,Global and Regional Assessments of the Marine Environment (GRAME) Database,,UN Environment World Conservation Monitoring Centre,WCMC-038,FALSE,http://www.unep-wcmc-apps.org/gramed,,TRUE,FALSE,FALSE,FALSE,FALSE
Ecological status and impact,Environmental Performance Index,,Yale Centre for Environmental Law & Policy,YCELP-001,FALSE,http://epi.yale.edu/downloads,,FALSE,FALSE,TRUE,TRUE,FALSE
Ecological status and impact,World Ocean Atlas,,National Oceanic and Atmospheric Administration-Fisheries,NOAA-003,FALSE,https://www.nodc.noaa.gov/OC5/WOA09/pr_woa09.html,,TRUE,FALSE,FALSE,FALSE,FALSE
Ecological status and impact,Conservation status of habitat types and species,,European Environmental Agency,EEA-002,FALSE,https://www.eea.europa.eu/data-and-maps/data/article-17-database-habitats-directive-92-43-eec-1#tab-european-data,,FALSE,FALSE,FALSE,TRUE,FALSE
Ecological status and impact,Maritime Portal,,IHS Markit,HIS-001,FALSE,https://www.ihs.com/products/maritime-ship-tracker-ais-live-ship-data-seaweb.html,,TRUE,FALSE,TRUE,FALSE,FALSE
Ecological status and impact,Planet OS Datahub,,Planet OS,PlanetOS-001,FALSE,http://data.planetos.com/datasets#vendor-data-section,,TRUE,FALSE,TRUE,FALSE,FALSE
Ecological status and impact,Living Planet Database (LPD),2014,"Indicators and Assessments Unit, Zoological Society of London",WWF-002,TRUE,http://www.livingplanetindex.org/data_portal,http://wwf.panda.org/about_our_earth/all_publications/living_planet_report/,FALSE,TRUE,TRUE,TRUE,FALSE
Ecological status and impact,Global Data for the Ocean Health Index (2012),2012,"National Centre for Ecological Analysis and Synthesis, University of California",NCEAS-002,FALSE,http://www.oceanhealthindex.org,,FALSE,TRUE,TRUE,TRUE,FALSE
Ecological status and impact,Spatial and temporal changes in cumulative human impacts on the world’s ocean (2015),,"National Centre for Ecological Analysis and Synthesis, University of California",NCEAS-003,FALSE,https://knb.ecoinformatics.org/#data/query=%28Halpern%20Cumulative%20human%20impacts%29/page/0,,FALSE,FALSE,FALSE,FALSE,FALSE
Ecological status and impact,World Register of Introduced Marine Species (WRIMS),,Flanders Marine Institute,VLIZ-008,FALSE,http://www.marinespecies.org/introduced/online_sources.php,,FALSE,FALSE,TRUE,TRUE,FALSE
Ecological status and impact,Legacy dataset - Global Coral Disease Database (2010),1,UN Environment World Conservation Monitoring Centre,WCMC-004,FALSE,Contact marine@unep-wcmc.org,,FALSE,FALSE,TRUE,TRUE,TRUE
Ecological status and impact,Coral Reef Watch,,National Oceanic and Atmospheric Administration-Fisheries,NOAA-002,FALSE,http://coralreefwatch.noaa.gov/satellite/composites/index.php,,TRUE,TRUE,TRUE,TRUE,TRUE
Ecological status and impact,Coral Reef Bright Spot,,"James Cook University, Townsville Campus",UniJC-001,FALSE,https://doi:10.1038/nature18607,,FALSE,TRUE,FALSE,TRUE,TRUE
Ecological status and impact,Forecasted Coral Reef Decline,,University of Fribourg,UniFri-001,FALSE,http://doi:10.1111/gcb.12868,,FALSE,FALSE,TRUE,TRUE,TRUE
Ecological status and impact,Reef Life Survey (RLS),,University of Tasmania ,RLS-001,FALSE,http://reeflifesurvey.imas.utas.edu.au/static/landing.html,,FALSE,FALSE,FALSE,TRUE,TRUE
Ecological status and impact,Reefs at Risk Revisited (2011),2011,World Resources Institute,WRI-002,TRUE,http://www.wri.org/publication/reefs-risk-revisited,http://www.wri.org/sites/default/files/factsheet_reefs_main.pdf,FALSE,TRUE,TRUE,TRUE,TRUE
Ecological status and impact,Reefs at Risk (1998),1998,World Resources Institute,WRI-001,FALSE,http://www.wri.org/our-work/project/reefs-risk,,FALSE,TRUE,TRUE,TRUE,TRUE
Ecological status and impact,Global Fishing Watch,,Global Fishing Watch,GFW-001,FALSE,http://globalfishingwatch.org/data,,FALSE,TRUE,TRUE,FALSE,FALSE
Ecological status and impact,RAM Legacy Stock Assessment Database,3.0 (2015),"School of Aquatic and Fishery Sciences, University of Washington",RAM-001,TRUE,http://ramlegacy.org/,,TRUE,FALSE,FALSE,TRUE,FALSE
Ecological status and impact,SeagrassNet: Global Seagrass Monitoring Network (2013),2013,"Washington State Department of Natural Resources, Aquatic Resources Division",WaDNR-001,TRUE,http://www.seagrassnet.org/about-seagrassnet,http://wcmc.io/seagrass,TRUE,FALSE,FALSE,TRUE,TRUE
Ecological status and impact,Sailing Seas of Plastic,,Dumpark data science & information design,Dumpark-001,FALSE,http://app.dumpark.com/seas-of-plastic-2/#,,FALSE,TRUE,TRUE,FALSE,FALSE
Ecological status and impact,Open Oil Mapping Interface,,Open Oil,OpenOil-001,FALSE,https://maps.openoil.net/concessions/#3/4.22/18.35,,TRUE,FALSE,TRUE,FALSE,FALSE
Ecological status and impact,Undersea Cables,,International Cable Protection Committee,ICPC-001,FALSE,https://iscpc.org/cable-data,,TRUE,FALSE,TRUE,FALSE,FALSE
Ecological status and impact,Global Ocean Acidification Observing Network,,Global Ocean Acidification Observation Network,GOAON-001,FALSE,http://goa-on.org/GOA-ON_Map_FullScreen.html#,,FALSE,FALSE,TRUE,FALSE,FALSE
