Category,Dataset title,Version,Contact organisation,Dataset ID,Associated metadata?,Webpage and/or download,Factsheet URL,Country,Region,DIC_MET_ACCESS_USE_CONSTRAINT.NAME,Other access use constraints,Marine Spatial Planning & Policy,Education,Environmental Impact & high-level screening,Ecosystem health & assessment,Ecosystem services and blue carbon
Biodiversity metric,Global Seagrass Species Richness (2003),1.0,UN Environment World Conservation Monitoring Centre,WCMC-015,1,http://data.unep-wcmc.org/datasets/9,http://wcmc.io/biodiversity-metric,Global,Global,UNEP-WCMC General Data Licence,None,0,1,0,1,1
Biodiversity metric,Global Patterns of Marine Biodiversity (2010),,UN Environment World Conservation Monitoring Centre,WCMC-019,1,http://data.unep-wcmc.org/datasets/17,http://wcmc.io/biodiversity-metric,Global,Global,UNEP-WCMC General Data Licence,"Full Terms and Conditions can be found in the file ""TermsConditionsOfUseForDataSources.pdf"" distributed with the dataset. Use of the dataset constitutes  acceptance of these Terms and Conditions. The dataset may not be used for commercial or revenue-generating activities.

If working with individual taxa (rather than cross-taxa), consider using the original data sources, as they tend to be of higher spatial resolution. In this case, individual data sources should be credited appropriately (see files ""Metadata for Tittensor10Nature_across_taxa.pdf"" and ""MetadataTittensor10Nature_individual_taxa.pdf"" for lists).",0,1,0,1,0
Environment descriptor,Mean Sea Surface Productivity in June and December 2003-2007 (2008),,UN Environment World Conservation Monitoring Centre,WCMC-020-021,1,http://data.unep-wcmc.org/datasets/18,http://wcmc.io/environment-descriptors,Global,Global,UNEP-WCMC General Data Licence,None,0,0,0,1,0
Environment descriptor,Mean Annual Sea Surface Temperature 2003-2007 (2008),,UN Environment World Conservation Monitoring Centre,WCMC-022,1,http://data.unep-wcmc.org/datasets/20,http://wcmc.io/environment-descriptors,Global,Global,UNEP-WCMC General Data Licence,None,0,0,0,1,0
Administration,Global Marine Aquarium Database (2003),1.0 (2003),UN Environment World Conservation Monitoring Centre,WCMC-023,1,Contact marine@unep-wcmc.org,,Global,Global,UNEP-WCMC General Data Licence,"The database contains information of a sensitive nature, which is removed from the distributed version.",0,0,1,0,0
Biogenic habitat,Global Distribution of Saltmarsh,6.0 (June 2018),UN Environment World Conservation Monitoring Centre,WCMC-027,1,http://data.unep-wcmc.org/datasets/43,http://wcmc.io/saltmarsh,Global,Global,UNEP-WCMC General Data Licence,None,1,1,1,1,1
Species habitat,Global Distribution of Sea Turtle Nesting Sites (2011),2011,State of the World's Sea Turtles,SWOT-001,0,http://www.seaturtlestatus.org,http://wcmc.io/turtle-nesting-site,Global,Global,UNEP-WCMC General Data Licence,,1,1,0,1,0
Administration,Global Distribution of Dive Centres (2001),1.2 (June 2015),UN Environment World Conservation Monitoring Centre,WCMC-030,1,http://data.unep-wcmc.org/datasets/27,,Global,Global,UNEP-WCMC General Data Licence,None,0,0,0,0,1
Biogenic habitat,Mangrove Tree Height in Africa (2013),1.0 (September 2012),NASA Goddard Space Flight Centre,NASA-001,1,Contact marine@unep-wcmc.org,http://wcmc.io/mangroves,"Nigeria; Tanzania, United Republic of",Eastern Africa; West and Central Africa- WACAF,UNEP-WCMC General Data Licence,,1,0,1,1,1
Biogenic habitat,Global Distribution of Modelled Mangrove Biomass (2014),1.0 (2014),The Nature Conservancy,TNC-001,1,http://data.unep-wcmc.org/datasets/39,http://wcmc.io/mangroves,Global,Global,UNEP-WCMC General Data Licence,None,1,1,0,1,1
Biogeographic classification,Global Estuary Database (2003),2.0 (2014),"Sea Around Us, University of British Columbia",UBC-003,1,http://data.unep-wcmc.org/datasets/23,www.marbef.org/wiki/estuaries,Global,Global,UNEP-WCMC General Data Licence,Please cite the data source in all publications.,1,0,0,1,0
Biogeographic classification,Marine Ecoregions and Pelagic Provinces of the World (2007; 2012),1.0 (May 2015),The Nature Conservancy,WCMC-036,1,http://dx.doi.org/10.1641/B570707; 10.1016,http://wcmc.io/PPOW,Global,Global,UNEP-WCMC General Data Licence,None,1,1,0,1,0
Biodiversity-related data portal,Ocean Data Viewer (ODV),2016,UN Environment World Conservation Monitoring Centre,WCMC-039,1,http://data.unep-wcmc.org,,Global,Global,UNEP-WCMC General Data Licence,,1,1,1,1,1
Administration,Global distribution of spatial planning in the marine environment,1.0,UN Environment World Conservation Monitoring Centre,WCMC-042,1,Contact: marine@unep-wcmc.org,,Global,Global,UNEP-WCMC General Data Licence,,1,0,1,0,0
Protected areas and areas of biodiversity importance,Global Critical Habitat Screening Layer,1.0 (2017),UN Environment World Conservation Monitoring Centre,WCMC-043,1,https://wcmc.io/WCMC_043,http://biodiversitya-z.org/content/critical-habitat,Global,Global,UNEP-WCMC General Data Licence,"This screening layer is a composite of multiple input layers. For use of individual layers, please refer to the original sources and their respective use restrictions.",0,0,1,1,0
Protected areas and areas of biodiversity importance,World Database on Protected Areas,Released monthly,UN Environment World Conservation Monitoring Centre,WCMC-016,1,http://www.protectedplanet.net/,http://wcmc.io/MPA,Global,Global,UNEP-WCMC WDPA Data Licence,None,1,1,1,1,0
Protected areas and areas of biodiversity importance,Global Database on Protected Areas Management Effectiveness (GD-PAME),1.0 (2018),UN Environment World Conservation Monitoring Centre,WCMC-044,1,http://www.protectedplanet.net,Not reported,Global,Global,UNEP-WCMC WDPA Data Licence,"Currently subject to review by contributing countries. Not scheduled to be available until June 2018. Data contributors who provide PAME evaluations for inclusion in the GD-PAME are requested to sign the 'GD-PAME Data Contributor Agreement'. This ensures that there is a written record of the agreement for the data to be included in the GD-PAME, and allows the data provider to specify the terms under which the data are made available. The agreement specifically states how the data provided will be used and that redistribution or use of the data by third parties will be subject to the Protected Planet Terms of Use.",1,1,0,0,0
Biogenic habitat,Global Habitat Suitability for Framework-Forming Cold-Water Corals (2011),1.0,"School of Ocean Sciences, University of Bangor",Bangor-001,1,http://doi.pangaea.de/10.1594/PANGAEA.775081,http://wcmc.io/cold-coral,Global,Global,Specific Terms of Use,Please contact andrew.j.davies@bangor.ac.uk and John.Guinotte@marine-conservation.org.,1,0,0,1,1
Administration,Boundaries of the Global International Waters Assessment (2003),,"Division of Early Warning and Assessment, United Nations Environment Programme",UNEP-001,1,http://www.unep.org/dewa/giwa/,,Global,Global,Specific Terms of Use,Please contact dewainfo@unep.org.,1,0,0,0,0
Biogenic habitat,Modelled Posidonia oceanica Distribution (2013),2013,"""Tor Vergata"" University of Rome",Mediseh-002,1,http://www.emodnet-seabedhabitats.eu/default.aspx?page=1974,http://wcmc.io/seagrass,Albania; Egypt; France; Greece; Israel; Italy; Lebanon; Libya; Morocco; Spain; Syrian Arab Republic; Tunisia; Turkey,Mediterranean,Specific Terms of Use,Please see 'Citation' for guidance.,1,0,1,1,1
Biodiversity metric,Global Map of Shannon's Index of Biodiversity (OBIS),2014,"OBIS Secretariat, Intergovernmental Oceanographic Commission (UNESCO)",OBIS-001,1,http://data.unep-wcmc.org/datasets/15,,Global,Global,Specific Terms of Use,Data use conditions can be accessed at www.iobis.org/data/policy/disclaimer. Data and maps must be cited as per www.iobis.org/about/citation.,0,0,0,1,0
Biodiversity metric,Global Map of Hurlbert's Index of Biodiversity (OBIS),2014,"OBIS Secretariat, Intergovernmental Oceanographic Commission (UNESCO)",OBIS-002,1,http://data.unep-wcmc.org/datasets/16,,Global,Global,Specific Terms of Use,Data use conditions can be accessed at www.iobis.org/data/policy/disclaimer. Data and maps must be cited as per www.iobis.org/about/citation.,0,0,0,1,0
Biogeographic classification,Global Distribution of Cold Seeps (2010),3.0,"University of Southampton, National Oceanography Centre",ChEssBase-001,1,http://www.noc.soton.ac.uk/chess/science/sci_project.php,http://wcmc.io/cold-seep,Global,Global,Specific Terms of Use,"The ChEssBase Agreement can be found at: www.noc.soton.ac.uk/chess/database/db_agree.php. ChEssBase data cannot be used for any commercial purposes, and the original data source must be acknowledged in any publications or presentations based on the data held within ChEssBase. ChEssBase should also be acknowledged whenever it is used for analytical purposes within  presentations and publications, in which case the citation should be sent to Dr. Maria Baker (mb11@noc.soton.ac.uk).",1,0,1,1,1
Administration,Maritime Boundaries incl. Exclusive Economic Zones,10.0 (2018),Flanders Marine Institute,VLIZ-001,1,http://www.marineregions.org,,Global,Global,Specific Terms of Use,"Copyright information can be found at: http://www.marineregions.org/disclaimer.php. The data can be used for educational, scientific or research purposes, but should not be used for legal, commercial/economical (exploration of natural resources) or navigational purposes.",1,0,0,0,0
Biogeographic classification,Global Distribution of Hydrothermal Vents (2010),3.0,"University of Southampton, National Oceanography Centre",ChEssBase-002,1,http://www.noc.soton.ac.uk/chess/science/sci_project.php,http://wcmc.io/hydrothermal-vents,Global,Global,Specific Terms of Use,"The ChEssBase Agreement can be found at: www.noc.soton.ac.uk/chess/database/db_agree.php. ChEssBase data cannot be used for any commercial purposes, and the original data source must be acknowledged in any publications or presentations based on the data held within ChEssBase. ChEssBase should also be acknowledged whenever it is used for analytical purposes within  presentations and publications, in which case the citation should be sent to Dr. Maria Baker (mb11@noc.soton.ac.uk).",1,0,1,1,1
Administration,Global Distribution of Regional Fishery Bodies (2010),2010,Food and Agriculture Organization of the United Nations,FAO-001,1,http://www.fao.org:80/geonetwork?uuid=cc7dbf20-1b8b-11dd-8bbb-0017f293bd28,,Global,Global,Specific Terms of Use,Please see 'Citation' for guidance.,1,0,0,0,0
Protected areas and areas of biodiversity importance,Areas of Particular Environmental Interest (APEI),1.0 (2012),International Seabed Authority,ISA-001,1,https://www.isa.org.jm,,Regional,Pacific,Specific Terms of Use,Interested users should contact marine@unep-wcmc.org in the first instance.,1,0,1,0,0
Protected areas and areas of biodiversity importance,Global Distribution of Particularly Sensitive Sea Areas (PSSA),2016,Claymoreclan Design,IMO-001,1,http://pssa.imo.org,http://wcmc.io/PSSA,Global,Global,Specific Terms of Use,Please contact Andy Hamilton (info@claymoreclan-design.com).,1,0,1,0,0
Biogeographic classification,Large Marine Ecosystems of the World (2013),July 2013,"Large Marine Ecosystem Program, National Oceanic and Atmospheric Administration-Fisheries",NOAA-001,1,http://www.lme.noaa.gov,,Global,Global,Specific Terms of Use,The dataset must be cited when used. See 'Citation' for guidance.,1,0,0,1,0
Ecological status and impact,Global Data for the Ocean Health Index (2012),2012 - Present,"National Centre for Ecological Analysis and Synthesis, University of California",NCEAS-002,1,http://www.oceanhealthindex.org,,Global,Global,Specific Terms of Use,"You may freely download and use any data, code, or instructional guides created for the Ocean Health Index project. In exchange, please credit our work as described under 'Citations'.",0,1,1,1,0
Species habitat,Global Distributions of Habitat Suitability for Sea Turtle Nesting Sites (2012),2012,State of the World's Sea Turtles,SWOT-002,0,http://www.seaturtlestatus.org,http://wcmc.io/turtle-nesting-site,Global,Global,Specific Terms of Use,,1,0,0,1,0
Biodiversity-related data portal,The State of the World's Sea Turtles Online Database,,State of the World's Sea Turtles,SWOT-003,0,http://www.seaturtlestatus.org,,Global,Global,Specific Terms of Use,"The data contained in the SWOT database have been made publicly available by members of the SWOT Team for informational purposes and to help support and advance sea turtle research and conservation worldwide. You can request data from the SWOT database for your use in research, in educational materials, and for other purposes, subject to the SWOT database Terms of Use, which can be viewed here: https://www.seaturtlestatus.org/terms-of-use.

Data may be requested by anyone by completing a formal Data Request Form and submitting it via email to SWOT’s database manager at swotdata@gmail.com for review. For more information, and a copy of the form, please visit: https://www.seaturtlestatus.org/request-data.

[Note that the use of data for distributions, RMUs, mtDNA, nDNA and habitat suitability requires adherence to additional terms of use that will be shared prior to data delivery. These layers can be downloaded freely through the SWOT online database, and requests for their use can be made from within the online mapping portal.]",1,0,0,1,0
Ecological status and impact,SeagrassNet: Global Seagrass Monitoring Network (2013),2013,"Washington State Department of Natural Resources, Aquatic Resources Division",WaDNR-001,1,http://www.seagrassnet.org/about-seagrassnet,http://wcmc.io/seagrass,Global,Global,Specific Terms of Use,Please contact Prof Fred Short (fred.short@dnr.wa.gov or fredshort@gmail.com).,1,0,0,1,1
Administration,"Global Distribution of Islands ""OSM"" (2015)",2.1 (November 2015),UN Environment World Conservation Monitoring Centre,WCMC-031,1,Contact: marine@unep-wcmc.org,,Global,Global,Specific Terms of Use,"""Attributes"": UNEP-WCMC General Data License (excluding WDPA). See www.unep-wcmc.org/policies/general-data-license-excluding-wdpa#data_policy and www.unep-wcmc.org/policies. For commercial use, please contact business-support@unep-wcmc.org.

Underlying geographic boundary dataset (""geometries""): CC BY-SA 3.0, Open Database License (http://www.openstreetmap.org/copyright, http://opendatacommons.org/licenses/odbl/, http://creativecommons.org/licenses/by-sa/3.0/).",1,0,0,0,0
Ecosystem services and natural capital,Marine Ecosystem Services Partnership (MESP),,"Nicholas Institute for Environmental Policy Solutions, Duke University",UniDuke-001,1,http://mesp2.env.duke.edu/explore,,Global,Global,Specific Terms of Use,Please refer to 'Citation' for guidance.,0,0,0,0,1
Biogeographic classification,Coral Ecoregions of the World (2009),1.0,Coral Reef Research,TNC-003,1,https://www.jstage.jst.go.jp/article/galaxea/11/2/11_2_91/_pdf,,Global,Global,Specific Terms of Use,Please contact j.veron@coralreefresearch.com,0,1,0,1,0
Ecosystem services and natural capital,A Global Map of Natural Capital (2014),1.0 (2014),UN Environment World Conservation Monitoring Centre,WCMC-032,1,http://www.unep-wcmc.org/resources-and-data/towards-a-global-map-of-natural-capital,http://www.biodiversitya-z.org/content/natural-capital,Global,Global,Specific Terms of Use,Interested users should contact marine@unep-wcmc.org.,0,0,0,0,1
Ecological status and impact,RAM Legacy Stock Assessment Database,3.0 (2015),"School of Aquatic and Fishery Sciences, University of Washington",RAM-001,1,http://ramlegacy.org/,,Global,Global,Specific Terms of Use,'Fair Use' Policy. Full details are available from http://ramlegacy.marinebiodiversity.ca/ram-legacy-stock-assessment-database/ram-legacy-stock-assessment-database-fair-use-policy.,1,0,0,1,0
Biogeographic classification,Large Seamount Areas (2004),1.0,"Sea Around Us, University of British Columbia",UBC-004,1,http://www.seaaroundus.org/large-seamount-areas/,http://wcmc.io/seamounts,Global,Global,Specific Terms of Use,This dataset is not to be further redistributed or used for commercial purposes.,1,0,1,0,0
Biodiversity-related data portal,Map Of Life (MOL),,Yale University,MoL-001,0,https://mol.org/datasets/,,Global,Global,Specific Terms of Use,"For full terms of service, please visit: https://mol.org/tos.",1,1,0,1,0
Administration,Global Administrative Areas,2.0 (January 2012),Global Administrative Areas,GADM-001,0,http://www.gadm.org,,Global,Global,Specific Terms of Use,"This dataset is freely available for academic use and other non-commercial use. Redistribution, or commercial use is not allowed without prior permission. You are free to create maps and use the data in other ways for publication in academic journals, books, reports, etc.",1,0,0,0,0
Taxonomic database,World Porifera Database (sponges),,Flanders Marine Institute,VLIZ-006,0,http://www.marinespecies.org/porifera,,Global,Global,Specific Terms of Use,"If data are extracted from this website for secondary analysis resulting in a publication, the website should be cited (see 'Citation').

If any data constitutes a substantial proportion of the records used in secondary analyses (i.e. more than 25% of the data are derived from this source, or the data are essential to arrive at the conclusion of the analysis), the editors/managers of the database should be contacted. It may be useful to contact us directly in case there are additional data that may strengthen the analysis or there are features of the data that are important to consider but may not have been apparent from the metadata.",0,0,0,1,0
Environment descriptor,Global Seafloor Sediment Map,,Service Hydrographique et Océanographique de la Marine,UniSyd-001,1,https://pubs.geoscienceworld.org/gsa/geology/article/43/9/795/131939/census-of-seafloor-sediments-in-the-world-s-ocean,,Global,Global,Specific Terms of Use,See Dutkiewicz et al. (2015) for more details.,1,0,0,0,0
Species distribution,OBIS Spatial Ecological Analysis of Megavertebrate Populations (OBIS-SEAMAP),Updated regularly,"Marine Geospatial Ecology Lab, Duke University",OBIS-004,1,http://seamap.env.duke.edu,,Global,Global,Specific Terms of Use,"The use of the data is subject to the OBIS-SEAMAP Terms of Use (http://seamap.env.duke.edu/content/content/termsofuse). Please contact the data provider(s) before you use the data under ""permission required"" policy downloaded from OBIS-SEAMAP for any product or publication.

Except for data under CC0 sharing policy, proper credit/citations for all individual datasets are required, even when multiple datasets are used together. The citation section in the metadata of individual Dataset Page(s) should be used as the proper credit/citations. For your convenience, the zipped file for download data includes datasets_and_citations.csv that lists all the datasets, their citations and links to online metadata (notes: datasets_and_citations.csv has only one row for the daatset when users downloaded data with ""Dataset on Dataset Page"" option. For other options, the csv file lists all the datasets that provided data users downloaded),",1,0,0,1,0
Ecological status and impact,Plastic Debris Open Ocean (2014),2014,University of Cadiz,UniCadiz-001,1,http://www.pnas.org/content/111/28/10239.full,,Global,Global,Specific Terms of Use,Freely available online through the PNAS open access option.,0,1,1,0,0
Biodiversity-related data portal,PANGAEA,Updated regularly,"Alfred Wegener Institute, Helmholtz Center for Polar and Marine Research",AWI-001,1,http://www.pangaea.de,,Global,Global,Specific Terms of Use,See 'Supplementary Information' box.,0,0,0,0,0
Ecological status and impact,Ship Strike Database,1.0,Tethys Research Institute,IWC-001,1,https://iwc.int/ship-strikes,,Global,Global,Specific Terms of Use,Please contact Simone Panigada or Fabian Ritter.,1,0,1,0,0
Ecological status and impact,Global distribution of deep-sea debris (2017),On-going,Global Oceanographic Data Centre of Japan Agency for Marine-Earth Science and Technology,JAMSTEC-001,1,http://www.godac.jamstec.go.jp/dsdebris/e/,,Global,Global,Specific Terms of Use,"For purposes of academic research, and educational activities such as lessons at non-profit educational institutions or personal uses permitted by the copyright act, you can use videos and photos on the website without authorization of JAMSTEC for free. Please express clearly in your paper, document, video etc. that JAMSTEC data is used if you use videos and photos from the website. Terms and condition: http://www.godac.jamstec.go.jp/jedi/e/readme.html",0,1,1,1,0
Environment descriptor,Global Atlas of Renewable Energy,3.0,The International Renewable Energy Agency,IRENA-001,0,https://irena.masdar.ac.ae/gallery/#gallery,,Global,Global,Specific Terms of Use,Please refer to the website for full terms and conditions.,1,0,1,0,0
Biogenic habitat,Coral Trait Database,,Macquarie University,UniMacq-001,0,https://www.nature.com/articles/sdata201617#data-records,,Global,Global,Specific Terms of Use,"Basically, if you enter data into the database and make it public, the data can be reused by others if they cite it correctly. Similarly, if you download and use data in an analysis to be published, you must cite primary (and, if applicable, secondary) resources correctly.

A couple of key points:
- Content must be associated with a published scientific or other scholarly research document
- Content may only be entered by an individual who represents and warrants that s/he is the creator and owner of the content or otherwise has sufficient rights to be able to make the content available under a CC0 Waiver
- The primary language of the content must be English.
- Once CC0 is applied by making data public and associating it with a published research Document, the data can not be made private again.",0,0,0,1,1
Biodiversity-related data portal,Mediterranean Platform On Biodiversity,Variable,N Environment Mediterranean Action Plan - Regional Activity Centre for Specially Protected Areas,RAC-SPA-002,1,http://data.medchm.net/en/catalogue,,Regional,Mediterranean,Specific Terms of Use,"Access is constrained by user type, with different levels of restriction. Access falls under three categories: administrator; collaborator; and user. These levels are assigned by SPA/RAC.

The 'user' level is most restrictive, allowing basic roles to display and create maps from layers already available in the database.",1,1,0,1,0
Biodiversity-related data portal,Mid-Atlantic Ocean Data Portal,Variable,Mid Atlantic Regional Council of the Oceans,MARCO-001,1,http://portal.midatlanticocean.org/data-catalog/,,United States of America (the),North-West Atlantic,Specific Terms of Use,Please refer to the metadata accompanying each dataset on the Portal to identify specific access use constraints.,1,1,1,1,1
Administration,Natural Earth,Variable,Natural Earth,NatEarth-001,1,http://www.naturalearthdata.com/,,Global,Global,Specific Terms of Use,"All versions of Natural Earth raster + vector map data found on this website are in the public domain. You may use the maps in any manner, including modifying the content and design, electronic dissemination, and offset printing. The primary authors, Tom Patterson and Nathaniel Vaughn Kelso, and all other contributors renounce all financial claim to the maps and invites you to use them for personal, educational, and commercial purposes.

For full terms and conditions, please visit: https://www.naturalearthdata.com/about/terms-of-use/.",1,1,0,0,0
Ecological status and impact,Reef Life Survey (RLS),,University of Tasmania ,RLS-001,1,http://reeflifesurvey.imas.utas.edu.au/static/landing.html,,Global,Global,Specific Terms of Use,"RLS data are freely available to the public for non-profit purposes, so not only managers, but also groups such as local dive clubs or schools may use these data to look at changes over time in their own local reefs. By making data freely available and through public outputs, RLS aims to raise broader community awareness of the status of Australia’s marine biodiversity and associated conservation issues.",0,0,0,1,1
Species distribution,Seabird Tracking Database,,Birdlife International,BirdLife-002,0,http://www.seabirdtracking.org/,,Global,Global,Specific Terms of Use,Full 'terms of use' may be found here: http://seabirdtracking.org/termsofuse.,1,0,1,1,0
Taxonomic database,Encyclopedia of Life (EoL),3.0,Encyclopedia of Life (EOL),EoL-001,1,http://eol.org/,,Global,Global,Specific Terms of Use,"Ownership of any copyrightable content on EOL rests with the content partner, and detailed attribution and license information (where applicable) is always available. Please see our Terms of Use and API Terms of Use for more details about re-use of content hosted by EOL.

For the Encyclopedia of Life's full 'terms of use', please visit: https://eol.org/docs/what-is-eol/terms-of-use.",0,0,0,1,0
Ecological status and impact,Planet OS Datahub,,Planet OS,PlanetOS-001,0,http://data.planetos.com/datasets#vendor-data-section,,Global,Global,Specific Terms of Use,"The Datahub portion of the Platform (“Subscription Services”) provides access to certain data sets on a subscription basis, as described at http://data.planetos.com/plans (each such subscription, a “Subscription”). If you purchase a Subscription, then subject to these Terms, Intertrust grants you a non-exclusive, non-sublicensable, and non-transferrable license to access and use the data sets included in such Subscription and the associated tools and functionality provided through the applicable Subscription Service during the term of your Subscription, solely as made available through such Subscription Service.

For full terms and conditions, please visit: https://data.planetos.com/terms.",1,0,1,0,0
Ecological status and impact,Threatened Island Biodiversity Database,1.0 (2016),Island Conservation,TIBD-001,1,http://tib.islandconservation.org/,,Global,Global,Specific Terms of Use,"The data are supplied only for conservation purposes, scientific analysis or research.
The recipient of the data will provide a full and appropriate acknowledgement and citation in any materials or publications derived in part or in whole from the data; relevant citation details will be provided with each dataset. For any publications making substantial use of the data, Island Conservation, University of California at Santa Cruz, Coastal Conservation Action Laboratory (UCSC CCAL), BirdLife International and IUCN Invasive Species Specialist Group (ISSG) welcome the opportunity for co-authorship, collaboration and to comment prior to publication. Expressions of interest can be sent to tib@islandconservation.org.
Reproduction of the dataset or products derived from it, either whole or in part, for commercial purposes is prohibited without prior written permission from a representative of Island Conservation, UCSC CCAL, BirdLife International or IUCN ISSG. For the purposes of these Terms of Use, ""commercial purposes"" means a) any use by, on behalf of, or to inform or assist the activities of, a commercial entity (an entity that operates ""for profit"") or b) use by any non-profit entity for the purposes of revenue generation. If you require permission please contact tib@islandconservation.org.
The recipient will not publish the data in their original format, either whole or in part, on a website, FTP site, CD, memory stick or any other media. The recipient should provide a link to the original data source location at www.tib.islandconservation.org where appropriate.
Use of these data does not constitute endorsement by Island Conservation, UCSC CCAL, BirdLife International or IUCN ISSG of any derived products, reports or analyses. The Island Conservation, University of California, BirdLife International or IUCN ISSG logos must not be used on any derived products, reports or analyses, or supporting materials, without express permission.
The recipient will only use the data provided for the purpose for which it was requested, if subsequent or different use is required the recipient must contact the Island Conservation, University of California, BirdLife International or IUCN ISSG at tib@islandconservation.org again for written approval.
The recipient will not pass the original datasets on to third parties and will direct all requests for use of the data back to the Island Conservation, University of California, BirdLife International or IUCN ISSG at tib@islandconservation.org.
The recipient may only pass on datasets derived from the data supplied by Island Conservation, University of California, BirdLife International or IUCN ISSG if these derived data are supplied with the same terms of use.
Island Conservation, UCSC CCAL, BirdLife International and IUCN ISSG reserve the right to comment on the accuracy of representation of the data in material produced by a recipient.
Island Conservation, UCSC CCAL BirdLife International and IUCN ISSG endeavor to maintain accurate and up-to-date data at all times, but can accept no responsibility for the consequences of errors or omissions in the data, for misuse of the data by any organization or individual, or for any damage done to computing systems into which the data are entered (see Disclaimer).
Either an electronic or two paper copies of all products published using data supplied by Island Conservation, UCSC CCAL, BirdLife International or IUCN ISSG will be sent, free of charge, c/o - Island Conservation, 100 Shaffer Road, Santa Cruz CA USA 95060 or via email to tib@islandconservation.org.",0,1,1,1,0
Biodiversity-related data portal,Atlas of Living Australia (ALA),Updated regularly,Commonwealth Scientific and Industrial Research Organisation,CSIRO-001,1,https://www.ala.org.au,,Australia,Pacific,Specific Terms of Use,"For more information, please visit the following sites:

- Copyright: https://www.ala.org.au/who-we-are/terms-of-use/#Copyright
- Terms of Use: https://www.ala.org.au/who-we-are/terms-of-use/",1,0,0,1,0
